"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Latest: Kinetic Energy (J)","Latest: Potential Energy (J)","Latest: Total Energy (J)"
0.04,0.0803833021504,-0.210373333333,-0.867027777778,0.00265541636267,0.0101251317396,0.0127805481023
0.08,0.0724257021504,-0.242386666667,-1.029,0.00352507777067,0.00821967081422,0.0117447485849
0.12,0.0617241021504,-0.290406666667,-1.16715277778,0.00506016192267,0.0059700581201,0.0110302200428
0.16,0.0491017021504,-0.340713333333,-1.04329166667,0.00696513453067,0.00377800120043,0.0107431357311
0.2,0.0342841021504,-0.3773,-0.682427083333,0.0085413174,0.00184185126763,0.0103831686676
0.24,0.0186433021504,-0.395593333333,-0.269159722222,0.00938964512267,0.000544646444519,0.00993429156719
0.28,0.00245370215044,-0.398451666667,0.123861111111,0.00952582384017,9.4343651989E-006,0.00953525820537
0.32,-0.0134614978496,-0.385303333333,0.478770833333,0.00890751952067,0.000283959085462,0.00919147860613
0.36,-0.0285534978496,-0.359006666667,0.769368055556,0.00773314720267,0.00127757860921,0.00901072581188
0.4,-0.0422734978496,-0.323563333333,1.03971875,0.00628159384067,0.00280030518822,0.00908189902889
0.44,-0.0546214978496,-0.276115,1.31602430556,0.0045743695935,0.00467515707883,0.00924952667233
0.48,-0.0644998978496,-0.217805,1.55660069444,0.0028463410815,0.00651909110102,0.00936543218252
0.52,-0.0721830978496,-0.150348333333,1.66497916667,0.00135627728017,0.00816469619695,0.00952097347712
0.56,-0.0765734978496,-0.0794616666667,1.38152777778,0.000378849388167,0.00918810539776,0.00956695478593
0.6,-0.0784942978496,-0.0302983333333,0.830107638889,5.50793401667E-005,0.0096548429636,0.00970992230377
0.64,-0.0773966978496,-0.0348716666667,1.50896180556,7.29619881667E-005,0.00938671992917,0.00945968191734
0.68,-0.0834334978496,0.0697433333333,2.98219444444,0.000291847952667,0.0109081197989,0.0111999677515
0.72,-0.0735550978496,0.244673333333,2.55701736111,0.00359190240267,0.0084780222416,0.0120699246443
0.76,-0.0603838978496,0.282975,1.46013194444,0.0048044910375,0.00571361909227,0.0105181101298
0.8,-0.0521518978496,0.33957,1.16119791667,0.006918467094,0.00426195864407,0.0111804257381
0.84,-0.0332182978496,0.39102,0.423986111111,0.009173798424,0.00172911447394,0.0109029128979
0.88,-0.0192238978496,0.369868333333,-0.170309027778,0.00820815504017,0.000579097775447,0.00878725281561
0.92,-0.00440629784956,0.365295,-0.18221875,0.0080064262215,3.04240269781E-005,0.00803685024848
0.96,0.0101369021504,0.360721666667,-0.346572916667,0.00780720724817,0.00016101988242,0.00796822713059
1,0.0246801021504,0.340141666667,-0.691954861111,0.00694178120417,0.000954471361859,0.00789625256603
1.04,0.0375769021504,0.304126666667,-0.988506944444,0.00554958176267,0.00221264094238,0.00776222270504
1.08,0.0491017021504,0.259536666667,-1.18382638889,0.00404155688067,0.00377800120043,0.0078195580811
1.12,0.0584313021504,0.208658333333,-1.32078819444,0.00261229800417,0.00535007815025,0.00796237615442
1.16,0.0658401021504,0.153778333333,-1.46013194444,0.00141886654817,0.0067928181532,0.00821168470137
1.2,0.0707793021504,0.0931816666667,-1.65545138889,0.000520969380167,0.00785021496342,0.00837118434359
1.24,0.0735233021504,0.02058,-1.79241319444,2.5412184E-005,0.00847069422792,0.00849610641192
1.28,0.0724257021504,-0.053165,-1.76978472222,0.0001695910335,0.00821967081422,0.00838926184772
1.32,0.0691329021504,-0.121193333333,-1.68641666667,0.000881269442667,0.00748925423632,0.00837052367898
1.36,0.0628217021504,-0.189221666667,-1.51610763889,0.00214829034817,0.00618426933111,0.00833255967928
1.4,0.0537665021504,-0.244673333333,-1.22789236111,0.00359190240267,0.00452994119272,0.00812184359539
1.44,0.0430649021504,-0.286976666667,-0.934913194444,0.00494133643267,0.00290613594425,0.00784747237692
1.48,0.0307169021504,-0.319561666667,-0.643125,0.00612717952817,0.00147850849779,0.00760568802595
1.52,0.0172713021504,-0.338426666667,-0.350145833333,0.00687195652267,0.000467432774782,0.00733938929745
1.56,0.00355130215044,-0.347573333333,-0.0404930555555,0.00724843332267,1.97626074921E-005,0.00726819593016
1.6,-0.0107174978496,-0.343,0.333472222222,0.00705894,0.000179993079163,0.00723893307916
1.64,-0.0241630978496,-0.320705,0.702673611111,0.0061711018215,0.000914901251476,0.00708600307298
1.68,-0.0365110978496,-0.285833333333,1.01113541667,0.00490204166667,0.0020889054371,0.00699094710377
1.72,-0.0472126978496,-0.238956666667,1.24813888889,0.00342601731267,0.00349290385951,0.00691892117218
1.76,-0.0557190978496,-0.184648333333,1.39939236111,0.00204570042017,0.00486493619472,0.00691063661489
1.8,-0.0620302978496,-0.126338333333,1.49824305556,0.000957682468167,0.006029436553,0.00698711902116
1.84,-0.0658718978496,-0.0645983333333,1.57208333333,0.000250376680167,0.00679938055352,0.00704975723368
1.88,-0.0672438978496,0,1.60185763889,0,0.00708556939747,0.00708556939747
1.92,-0.0658718978496,0.0645983333333,1.55779166667,0.000250376680167,0.00679938055352,0.00704975723368
1.96,-0.0620302978496,0.125766666667,1.43035763889,0.000949035266667,0.006029436553,0.00697847181966
2,-0.0557190978496,0.180075,1.23027430556,0.0019456203375,0.00486493619472,0.00681055653222
2.04,-0.0474870978496,0.224665,0.998034722222,0.0030284617335,0.00353362333223,0.00656208506573
2.08,-0.0376086978496,0.259536666667,0.781277777778,0.00404155688067,0.00221638697922,0.00625794385989
2.12,-0.0266326978496,0.286976666667,0.564520833333,0.00494133643267,0.00111147403197,0.00605281046463
